Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,created_by (metadata),internal_id (metadata),location_id (metadata)
price_1S99Ro06JrOmKRCmIymNj577,prod_Sv6G3GPHacj04P,Amazon Video Downloader,,,amazon-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Ro06JrOmKRCmNdzX5iy7,prod_Sv6GtgFMKJIhNm,Alamy Downloader,,,alamy-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rn06JrOmKRCmZTivUHM0,prod_SqhYqE0db285Vk,AI Voice Cloner App,,,ai-voice-cloner-app,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rn06JrOmKRCmwLV8bR5q,prod_Sv6GOAsLI2g0Rh,Adobe Stock Downloader,,,adobe-stock-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rm06JrOmKRCmtW0poTQ6,prod_Sv6GbjSIsSmWI6,123rf Downloader,,,123rf-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rm06JrOmKRCmy06p5kao,prod_Sv6Gl1aPLd1uJy,123movies Downloader,,,123movies-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S954T06JrOmKRCmEJkTKAce,prod_SgQF32nMZhWxBU,Loom Video Downloader,loom-video-downloader,,Onetime,2025-09-19 14:13,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S954506JrOmKRCm1yhT0LbW,prod_SgRUqJP6Q5qbZh,Skool Video Downloader,,,Onetime,2025-09-19 14:13,27.00,usd,,,,,per_unit,,unspecified,,,
price_1S93iV06JrOmKRCm6M4zg4R0,prod_T5EAwIbhiUee8S,myproduct,,,,2025-09-19 12:47,15.00,usd,,,,,per_unit,,unspecified,,,
price_1S6KcZ06JrOmKRCmLFQzHhOy,prod_T2PRQv6WRJvXYn,Learning - SERP Affiliates,,,Price-SERP Affiliates,2025-09-12 00:13,99.00,usd,month,1,licensed,,per_unit,,unspecified,LeadConnector,68c365b90c5c612cbd6e01de,XM0gbS5U3qNXtUksyJ6o
price_1Rqk2X06JrOmKRCm8gco1MYQ,prod_SjvRU1nV7NdAMq,Communities - SERP University,,,SERP University - Price,2025-07-31 00:08,17.00,usd,month,1,licensed,,per_unit,,unspecified,LeadConnector,688258e4283ca26779a27f5d,XM0gbS5U3qNXtUksyJ6o
price_1Rqk2706JrOmKRCmn3Ysyo6R,prod_Sj3TMQS3RFnHcv,SERP University Pro,,,SERP University Pro,2025-07-31 00:07,19.00,usd,month,1,licensed,,per_unit,,unspecified,LeadConnector,687f48ba13b9606caa619f69,XM0gbS5U3qNXtUksyJ6o
